time_bin,avg_turns,p90_turns,p95_turns,session_count
2023200,9.785714285714286,6.0,36.79999999999997,14
2026800,3.433734939759036,2.0,2.8999999999999915,83
2030400,1.034677990092003,1.0,1.0,2826
2034000,1.0698151950718686,1.0,1.0,2435
2037600,1.262002743484225,2.0,3.0,729
2041200,1.1603009259259258,2.0,2.0,1728
2044800,1.1839835728952772,2.0,2.0,2435
2048400,1.0429123449257678,1.0,1.0,4917
2052000,1.037473976405274,1.0,1.0,2882
2055600,1.3087557603686637,2.0,3.0,651
2059200,1.1074099252209382,1.0,2.0,1471
2062800,1.2321428571428572,2.0,3.0,560
2066400,1.161764705882353,2.0,2.0,544
2070000,1.2793017456359101,2.0,3.0,401
2073600,1.0245691235790246,1.0,1.0,2727
2077200,1.022574740695546,1.0,1.0,3278
2080800,1.0227848101265822,1.0,1.0,790
2091600,5.0,5.0,5.0,1
2102400,522.0,522.0,522.0,1
2131200,36.5,64.1,67.55,2
2134800,1.1982758620689655,1.0,2.0,348
2138400,45.5,79.5,83.75,2
2142000,57.0,101.8,107.39999999999999,2
2149200,4.335766423357664,1.0,2.0,137
2167200,3.0,3.0,3.0,1
2170800,14.0,14.0,14.0,1
2178000,6.0,6.0,6.0,1
2188800,510.0,510.0,510.0,1
2210400,17.666666666666668,32.0,37.5,6
2214000,7.0285714285714285,16.800000000000004,25.699999999999946,35
2217600,4.384615384615385,12.699999999999996,15.899999999999991,52
2221200,3.3448275862068964,8.300000000000004,12.149999999999999,58
2224800,2.088607594936709,4.0,6.0,79
2228400,2.7866666666666666,3.0,8.499999999999957,75
2232000,1.2155172413793103,2.0,2.0,696
2235600,1.4328703703703705,1.0,2.0,864
2242800,2.054054054054054,3.700000000000003,7.0,74
2246400,1.5527638190954773,1.0,2.0,199
2253600,9.0,9.0,9.0,1
2271600,650.0,650.0,650.0,1
2289600,3.4482758620689653,3.0,4.0,58
2293200,7.146341463414634,8.0,13.0,41
2300400,11.307692307692308,9.5,19.0,26
2304000,14.65625,36.70000000000003,95.24999999999993,32
2307600,1.2932692307692308,1.0,2.0,208
2311200,1.9421965317919074,2.0,4.0,173
2314800,13.48,10.400000000000013,17.19999999999999,25
2318400,36.166666666666664,104.5,152.75,6
2322000,15.954545454545455,9.400000000000013,17.599999999999994,22
2329200,36.0,85.2,97.6,5
2332800,39.2,110.40000000000002,145.19999999999996,5
2354400,2.0,2.0,2.0,1
2358000,211.0,211.0,211.0,1
2365200,2.56,3.0,7.799999999999983,25
2368800,6.0625,6.0,23.049999999999997,80
2372400,23.666666666666668,46.800000000000004,50.9,3
2376000,1.3581560283687943,1.0,2.0,282
2379600,1.1243055555555554,1.0,2.0,1440
2383200,1.1521984216459977,1.0,2.0,1774
2386800,1.1284298780487805,1.0,2.0,2624
2390400,1.59375,2.0,3.0,352
2394000,3.134453781512605,3.0,5.099999999999994,119
2397600,1.151866151866152,1.0,2.0,777
2401200,1.1026645768025078,1.0,1.0,1276
2404800,1.0768854064642508,1.0,2.0,2042
2408400,1.6948640483383686,2.0,2.0,331
2412000,1.225130890052356,1.0,2.0,573
2415600,118.0,276.40000000000003,309.7,3
2437200,20.0,20.0,20.0,1
2440800,221.0,221.0,221.0,1
2455200,1.5,2.0,3.0,318
2458800,1.254431699687174,2.0,2.0,959
2462400,1.186138613861386,2.0,2.0,505
2466000,1.2811671087533156,2.0,3.0,754
2469600,1.0669354838709677,1.0,1.0,3720
2473200,1.2779017857142858,2.0,2.0,896
2476800,1.786610878661088,2.0,2.1499999999999773,478
2480400,1.2314662273476111,2.0,2.0,1214
2484000,1.9204545454545454,2.0,2.0,264
2487600,3.5,6.0,8.350000000000009,72
2491200,6.095238095238095,3.0,3.8999999999999986,63
2494800,6.666666666666667,9.0,17.999999999999915,18
2498400,19.25,7.699999999999999,10.549999999999994,24
2523600,6.0,6.0,6.0,1
2527200,16.0,16.0,16.0,1
2534400,357.0,357.0,357.0,1
2541600,164.5,294.5,310.75,2
2545200,33.0,33.0,33.0,1
